task_id,flow_id,task_type,dataset_id,predictive_accuracy,setup_string,flow_class
172,98,Supervised Data Stream Classification,132,0.762323,functions.SPegasos,functions
160,91,Supervised Data Stream Classification,120,0.88758,rules.RuleClassifier,rules
121,94,Supervised Data Stream Classification,71,0.870091,trees.HoeffdingAdaptiveTree,trees
124,108,Supervised Data Stream Classification,74,0.448836,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
2056,96,Supervised Data Stream Classification,151,0.853306,functions.NoChange,functions
124,106,Supervised Data Stream Classification,74,0.039455,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
189,101,Supervised Data Stream Classification,150,0.571128,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
197,103,Supervised Data Stream Classification,159,0.246024,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
127,92,Supervised Data Stream Classification,77,0.779244,trees.ASHoeffdingTree,trees
131,101,Supervised Data Stream Classification,117,0.422473,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
199,85,Supervised Data Stream Classification,161,0.885787,meta.OzaBagAdwin,meta
179,105,Supervised Data Stream Classification,140,0.875158,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
1916,61,Supervised Classification,36,0.955325,weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0,trees
1893,70,Supervised Classification,13,0.7,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
1775,56,Supervised Classification,11,0.4608,weka.classifiers.rules.ZeroR,rules
199,88,Supervised Data Stream Classification,161,0.385658,rules.AMRules,rules
239,70,Supervised Classification,9,0.58209,"weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0""",functions
1795,57,Supervised Classification,31,0.6646,weka.classifiers.rules.OneR -- -B 6,rules
51,64,Supervised Classification,52,0.4,weka.classifiers.trees.RandomTree -- -K 0 -M 1.0 -S 1,trees
160,86,Supervised Data Stream Classification,120,0.989272,meta.OzaBoost,meta
127,97,Supervised Data Stream Classification,77,0.702822,functions.MajorityClass,functions
180,98,Supervised Data Stream Classification,141,0.269802,functions.SPegasos,functions
160,94,Supervised Data Stream Classification,120,0.988834,trees.HoeffdingAdaptiveTree,trees
183,103,Supervised Data Stream Classification,144,0.925915,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
131,86,Supervised Data Stream Classification,117,0.663129,meta.OzaBoost,meta
132,56,Supervised Classification,70,0.759513,weka.classifiers.rules.ZeroR,rules
179,91,Supervised Data Stream Classification,140,0.780984,rules.RuleClassifier,rules
189,108,Supervised Data Stream Classification,150,0.580909,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
195,84,Supervised Data Stream Classification,157,0.805517,meta.OzaBag,meta
180,96,Supervised Data Stream Classification,141,0.250987,functions.NoChange,functions
161,92,Supervised Data Stream Classification,121,0.786617,trees.ASHoeffdingTree,trees
181,94,Supervised Data Stream Classification,142,0.923432,trees.HoeffdingAdaptiveTree,trees
188,97,Supervised Data Stream Classification,149,0.449694,functions.MajorityClass,functions
120,105,Supervised Data Stream Classification,70,0.878811,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
191,98,Supervised Data Stream Classification,153,0.922207,functions.SPegasos,functions
195,92,Supervised Data Stream Classification,157,0.763063,trees.ASHoeffdingTree,trees
127,105,Supervised Data Stream Classification,77,0.74762,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
122,84,Supervised Data Stream Classification,72,0.952423,meta.OzaBag,meta
126,86,Supervised Data Stream Classification,76,0.910886,meta.OzaBoost,meta
190,101,Supervised Data Stream Classification,152,0.626596,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
123,106,Supervised Data Stream Classification,73,0.35448,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
197,89,Supervised Data Stream Classification,159,0.261174,meta.RandomRules,meta
162,92,Supervised Data Stream Classification,122,0.895025,trees.ASHoeffdingTree,trees
158,85,Supervised Data Stream Classification,118,0.741505,meta.OzaBagAdwin,meta
160,87,Supervised Data Stream Classification,120,0.987342,meta.OzaBoostAdwin,meta
183,97,Supervised Data Stream Classification,144,0.922578,functions.MajorityClass,functions
187,108,Supervised Data Stream Classification,148,0.918421,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
129,86,Supervised Data Stream Classification,115,0.972055,meta.OzaBoost,meta
186,84,Supervised Data Stream Classification,147,0.839768,meta.OzaBag,meta
175,84,Supervised Data Stream Classification,135,0.665534,meta.OzaBag,meta
195,91,Supervised Data Stream Classification,157,0.558844,rules.RuleClassifier,rules
194,92,Supervised Data Stream Classification,156,0.831893,trees.ASHoeffdingTree,trees
159,99,Supervised Data Stream Classification,119,0.482042,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
198,84,Supervised Data Stream Classification,160,0.592889,meta.OzaBag,meta
191,96,Supervised Data Stream Classification,153,0.500246,functions.NoChange,functions
199,99,Supervised Data Stream Classification,161,0.829534,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
178,106,Supervised Data Stream Classification,139,0.498881,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
195,90,Supervised Data Stream Classification,157,0.261174,rules.Perceptron,rules
165,103,Supervised Data Stream Classification,125,0.906688,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
170,94,Supervised Data Stream Classification,130,0.864831,trees.HoeffdingAdaptiveTree,trees
163,92,Supervised Data Stream Classification,123,0.905408,trees.ASHoeffdingTree,trees
126,105,Supervised Data Stream Classification,76,0.875425,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
185,93,Supervised Data Stream Classification,146,0.358975,trees.FIMTDD,trees
128,91,Supervised Data Stream Classification,78,0.418377,rules.RuleClassifier,rules
182,106,Supervised Data Stream Classification,143,0.613472,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
198,101,Supervised Data Stream Classification,160,0.227663,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
130,101,Supervised Data Stream Classification,116,0.422473,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
179,106,Supervised Data Stream Classification,140,0.554324,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
189,89,Supervised Data Stream Classification,150,0.364605,meta.RandomRules,meta
174,90,Supervised Data Stream Classification,134,0.029618,rules.Perceptron,rules
194,88,Supervised Data Stream Classification,156,0.261174,rules.AMRules,rules
129,105,Supervised Data Stream Classification,115,0.940477,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
167,96,Supervised Data Stream Classification,127,0.099714,functions.NoChange,functions
121,92,Supervised Data Stream Classification,71,0.869707,trees.ASHoeffdingTree,trees
182,87,Supervised Data Stream Classification,143,0.961342,meta.OzaBoostAdwin,meta
122,99,Supervised Data Stream Classification,72,0.935441,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
127,99,Supervised Data Stream Classification,77,0.751406,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
127,108,Supervised Data Stream Classification,77,0.759949,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
160,84,Supervised Data Stream Classification,120,0.98951,meta.OzaBag,meta
168,95,Supervised Data Stream Classification,128,0.687194,trees.RandomHoeffdingTree,trees
183,90,Supervised Data Stream Classification,144,0.922578,rules.Perceptron,rules
158,98,Supervised Data Stream Classification,118,0.189472,functions.SPegasos,functions
2056,101,Supervised Data Stream Classification,151,0.618887,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
124,92,Supervised Data Stream Classification,74,0.50951,trees.ASHoeffdingTree,trees
184,85,Supervised Data Stream Classification,145,0.769387,meta.OzaBagAdwin,meta
165,84,Supervised Data Stream Classification,125,0.916547,meta.OzaBag,meta
159,84,Supervised Data Stream Classification,119,0.504485,meta.OzaBag,meta
200,87,Supervised Data Stream Classification,162,0.834207,meta.OzaBoostAdwin,meta
163,91,Supervised Data Stream Classification,123,0.317202,rules.RuleClassifier,rules
178,98,Supervised Data Stream Classification,139,0.852003,functions.SPegasos,functions
174,105,Supervised Data Stream Classification,134,0.889886,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
187,106,Supervised Data Stream Classification,148,0.396212,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
126,92,Supervised Data Stream Classification,76,0.903868,trees.ASHoeffdingTree,trees
182,85,Supervised Data Stream Classification,143,0.965324,meta.OzaBagAdwin,meta
193,101,Supervised Data Stream Classification,155,0.45225,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
2056,95,Supervised Data Stream Classification,151,0.741989,trees.RandomHoeffdingTree,trees
200,91,Supervised Data Stream Classification,162,0.805273,rules.RuleClassifier,rules
177,93,Supervised Data Stream Classification,138,0.634862,trees.FIMTDD,trees
182,97,Supervised Data Stream Classification,143,0.613464,functions.MajorityClass,functions
177,108,Supervised Data Stream Classification,138,0.863235,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
181,98,Supervised Data Stream Classification,142,0.89834,functions.SPegasos,functions
186,103,Supervised Data Stream Classification,147,0.486209,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
177,94,Supervised Data Stream Classification,138,0.87182,trees.HoeffdingAdaptiveTree,trees
176,93,Supervised Data Stream Classification,136,0.54081,trees.FIMTDD,trees
164,105,Supervised Data Stream Classification,124,0.865151,meta.WEKAClassifier -l weka.classifiers.bayes.NaiveBayes,meta
128,92,Supervised Data Stream Classification,78,0.803501,trees.ASHoeffdingTree,trees
125,92,Supervised Data Stream Classification,75,0.783377,trees.ASHoeffdingTree,trees
190,90,Supervised Data Stream Classification,152,0.499993,rules.Perceptron,rules
184,92,Supervised Data Stream Classification,145,0.716164,trees.ASHoeffdingTree,trees
127,96,Supervised Data Stream Classification,77,0.582176,functions.NoChange,functions
158,108,Supervised Data Stream Classification,118,0.723434,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
160,96,Supervised Data Stream Classification,120,0.50119,functions.NoChange,functions
126,94,Supervised Data Stream Classification,76,0.903053,trees.HoeffdingAdaptiveTree,trees
186,87,Supervised Data Stream Classification,147,0.727549,meta.OzaBoostAdwin,meta
172,86,Supervised Data Stream Classification,132,0.911013,meta.OzaBoost,meta
175,92,Supervised Data Stream Classification,135,0.663024,trees.ASHoeffdingTree,trees
130,108,Supervised Data Stream Classification,116,0.706606,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
166,91,Supervised Data Stream Classification,126,0.725365,rules.RuleClassifier,rules
190,108,Supervised Data Stream Classification,152,0.662613,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
196,87,Supervised Data Stream Classification,158,0.830051,meta.OzaBoostAdwin,meta
194,101,Supervised Data Stream Classification,156,0.699321,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
180,90,Supervised Data Stream Classification,141,0.250676,rules.Perceptron,rules
165,98,Supervised Data Stream Classification,125,0.902833,functions.SPegasos,functions
120,98,Supervised Data Stream Classification,70,0.110562,functions.SPegasos,functions
166,108,Supervised Data Stream Classification,126,0.771642,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
168,90,Supervised Data Stream Classification,128,0.422977,rules.Perceptron,rules
191,101,Supervised Data Stream Classification,153,0.744664,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
159,95,Supervised Data Stream Classification,119,0.477015,trees.RandomHoeffdingTree,trees
192,91,Supervised Data Stream Classification,154,0.392171,rules.RuleClassifier,rules
178,99,Supervised Data Stream Classification,139,0.864521,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
197,92,Supervised Data Stream Classification,159,0.322643,trees.ASHoeffdingTree,trees
175,97,Supervised Data Stream Classification,135,0.605945,functions.MajorityClass,functions
169,108,Supervised Data Stream Classification,129,0.97704,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
129,85,Supervised Data Stream Classification,115,0.96227,meta.OzaBagAdwin,meta
200,103,Supervised Data Stream Classification,162,0.675651,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
128,85,Supervised Data Stream Classification,78,0.849592,meta.OzaBagAdwin,meta
196,98,Supervised Data Stream Classification,158,0.17426,functions.SPegasos,functions
181,87,Supervised Data Stream Classification,142,0.907669,meta.OzaBoostAdwin,meta
184,93,Supervised Data Stream Classification,145,0.090279,trees.FIMTDD,trees
188,103,Supervised Data Stream Classification,149,0.23747,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
189,85,Supervised Data Stream Classification,150,0.847387,meta.OzaBagAdwin,meta
199,91,Supervised Data Stream Classification,161,0.81476,rules.RuleClassifier,rules
196,93,Supervised Data Stream Classification,158,0.261174,trees.FIMTDD,trees
199,97,Supervised Data Stream Classification,161,0.614341,functions.MajorityClass,functions
200,96,Supervised Data Stream Classification,162,0.532981,functions.NoChange,functions
196,84,Supervised Data Stream Classification,158,0.843295,meta.OzaBag,meta
178,97,Supervised Data Stream Classification,139,0.500373,functions.MajorityClass,functions
200,90,Supervised Data Stream Classification,162,0.385668,rules.Perceptron,rules
188,106,Supervised Data Stream Classification,149,0.444811,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
124,85,Supervised Data Stream Classification,74,0.521811,meta.OzaBagAdwin,meta
183,108,Supervised Data Stream Classification,144,0.925419,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
168,106,Supervised Data Stream Classification,128,0.422977,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
122,93,Supervised Data Stream Classification,72,0.521875,trees.FIMTDD,trees
186,91,Supervised Data Stream Classification,147,0.649718,rules.RuleClassifier,rules
162,87,Supervised Data Stream Classification,122,0.86649,meta.OzaBoostAdwin,meta
172,84,Supervised Data Stream Classification,132,0.884613,meta.OzaBag,meta
175,90,Supervised Data Stream Classification,135,0.605948,rules.Perceptron,rules
158,99,Supervised Data Stream Classification,118,0.58834,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
194,97,Supervised Data Stream Classification,156,0.300093,functions.MajorityClass,functions
169,84,Supervised Data Stream Classification,129,0.980947,meta.OzaBag,meta
164,108,Supervised Data Stream Classification,124,0.852596,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
197,94,Supervised Data Stream Classification,159,0.391628,trees.HoeffdingAdaptiveTree,trees
179,95,Supervised Data Stream Classification,140,0.842162,trees.RandomHoeffdingTree,trees
131,90,Supervised Data Stream Classification,117,0.150387,rules.Perceptron,rules
197,88,Supervised Data Stream Classification,159,0.261174,rules.AMRules,rules
2056,78,Supervised Data Stream Classification,151,0.733625,bayes.NaiveBayes,Bayes
174,84,Supervised Data Stream Classification,134,0.905172,meta.OzaBag,meta
128,106,Supervised Data Stream Classification,78,0.100058,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
125,99,Supervised Data Stream Classification,75,0.629797,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
186,95,Supervised Data Stream Classification,147,0.725761,trees.RandomHoeffdingTree,trees
189,103,Supervised Data Stream Classification,150,0.588081,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
168,103,Supervised Data Stream Classification,128,0.688765,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
187,85,Supervised Data Stream Classification,148,0.931137,meta.OzaBagAdwin,meta
174,99,Supervised Data Stream Classification,134,0.775614,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
2056,89,Supervised Data Stream Classification,151,0.424545,meta.RandomRules,meta
189,93,Supervised Data Stream Classification,150,0.364605,trees.FIMTDD,trees
187,93,Supervised Data Stream Classification,148,0.396212,trees.FIMTDD,trees
179,87,Supervised Data Stream Classification,140,0.856087,meta.OzaBoostAdwin,meta
180,108,Supervised Data Stream Classification,141,0.617838,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
166,97,Supervised Data Stream Classification,126,0.699586,functions.MajorityClass,functions
179,101,Supervised Data Stream Classification,140,0.832598,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
184,84,Supervised Data Stream Classification,145,0.774911,meta.OzaBag,meta
129,93,Supervised Data Stream Classification,115,0.100128,trees.FIMTDD,trees
125,97,Supervised Data Stream Classification,75,0.323283,functions.MajorityClass,functions
175,91,Supervised Data Stream Classification,135,0.653282,rules.RuleClassifier,rules
163,101,Supervised Data Stream Classification,123,0.622422,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
191,88,Supervised Data Stream Classification,153,0.500166,rules.AMRules,rules
164,93,Supervised Data Stream Classification,124,0.445102,trees.FIMTDD,trees
161,90,Supervised Data Stream Classification,121,0.662777,rules.Perceptron,rules
123,85,Supervised Data Stream Classification,73,0.962075,meta.OzaBagAdwin,meta
195,96,Supervised Data Stream Classification,157,0.227103,functions.NoChange,functions
131,93,Supervised Data Stream Classification,117,0.150387,trees.FIMTDD,trees
131,103,Supervised Data Stream Classification,117,0.548087,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
190,91,Supervised Data Stream Classification,152,0.70246,rules.RuleClassifier,rules
167,93,Supervised Data Stream Classification,127,0.104217,trees.FIMTDD,trees
195,94,Supervised Data Stream Classification,157,0.766116,trees.HoeffdingAdaptiveTree,trees
123,95,Supervised Data Stream Classification,73,0.921596,trees.RandomHoeffdingTree,trees
188,95,Supervised Data Stream Classification,149,0.600765,trees.RandomHoeffdingTree,trees
161,95,Supervised Data Stream Classification,121,0.763799,trees.RandomHoeffdingTree,trees
121,93,Supervised Data Stream Classification,71,0.009398,trees.FIMTDD,trees
124,95,Supervised Data Stream Classification,74,0.357973,trees.RandomHoeffdingTree,trees
176,95,Supervised Data Stream Classification,136,0.81867,trees.RandomHoeffdingTree,trees
160,92,Supervised Data Stream Classification,120,0.988977,trees.ASHoeffdingTree,trees
129,84,Supervised Data Stream Classification,115,0.966702,meta.OzaBag,meta
168,91,Supervised Data Stream Classification,128,0.686291,rules.RuleClassifier,rules
165,86,Supervised Data Stream Classification,125,0.910762,meta.OzaBoost,meta
178,85,Supervised Data Stream Classification,139,0.942126,meta.OzaBagAdwin,meta
190,93,Supervised Data Stream Classification,152,0.499993,trees.FIMTDD,trees
127,91,Supervised Data Stream Classification,77,0.72974,rules.RuleClassifier,rules
170,87,Supervised Data Stream Classification,130,0.844959,meta.OzaBoostAdwin,meta
2056,99,Supervised Data Stream Classification,151,0.631025,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
163,108,Supervised Data Stream Classification,123,0.896055,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
180,99,Supervised Data Stream Classification,141,0.591405,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
182,94,Supervised Data Stream Classification,143,0.964516,trees.HoeffdingAdaptiveTree,trees
126,93,Supervised Data Stream Classification,76,0.016553,trees.FIMTDD,trees
161,91,Supervised Data Stream Classification,121,0.669461,rules.RuleClassifier,rules
183,85,Supervised Data Stream Classification,144,0.924755,meta.OzaBagAdwin,meta
161,103,Supervised Data Stream Classification,121,0.634763,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
176,106,Supervised Data Stream Classification,136,0.54081,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
183,87,Supervised Data Stream Classification,144,0.897483,meta.OzaBoostAdwin,meta
125,94,Supervised Data Stream Classification,75,0.782582,trees.HoeffdingAdaptiveTree,trees
127,93,Supervised Data Stream Classification,77,0.702823,trees.FIMTDD,trees
167,103,Supervised Data Stream Classification,127,0.270509,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
167,108,Supervised Data Stream Classification,127,0.852265,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
168,85,Supervised Data Stream Classification,128,0.768516,meta.OzaBagAdwin,meta
131,91,Supervised Data Stream Classification,117,0.435221,rules.RuleClassifier,rules
191,93,Supervised Data Stream Classification,153,0.500166,trees.FIMTDD,trees
160,93,Supervised Data Stream Classification,120,0.518298,trees.FIMTDD,trees
170,103,Supervised Data Stream Classification,130,0.396732,meta.WEKAClassifier -l (weka.classifiers.rules.OneR -B 6),meta
196,97,Supervised Data Stream Classification,158,0.300093,functions.MajorityClass,functions
176,101,Supervised Data Stream Classification,136,0.819816,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
183,86,Supervised Data Stream Classification,144,0.924096,meta.OzaBoost,meta
179,98,Supervised Data Stream Classification,140,0.855642,functions.SPegasos,functions
120,108,Supervised Data Stream Classification,70,0.92556,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
198,87,Supervised Data Stream Classification,160,0.634967,meta.OzaBoostAdwin,meta
182,93,Supervised Data Stream Classification,143,0.613472,trees.FIMTDD,trees
177,99,Supervised Data Stream Classification,138,0.83509,meta.WEKAClassifier -l (weka.classifiers.trees.J48 -C 0.25 -M 2),meta
176,86,Supervised Data Stream Classification,136,0.875422,meta.OzaBoost,meta
167,87,Supervised Data Stream Classification,127,0.902448,meta.OzaBoostAdwin,meta
172,94,Supervised Data Stream Classification,132,0.869952,trees.HoeffdingAdaptiveTree,trees
121,106,Supervised Data Stream Classification,71,0.009398,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
161,106,Supervised Data Stream Classification,121,0.662777,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
126,101,Supervised Data Stream Classification,76,0.788517,meta.WEKAClassifier -l (weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0),meta
199,95,Supervised Data Stream Classification,161,0.832445,trees.RandomHoeffdingTree,trees
181,108,Supervised Data Stream Classification,142,0.899143,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
167,98,Supervised Data Stream Classification,127,0.194781,functions.SPegasos,functions
2056,91,Supervised Data Stream Classification,151,0.73208,rules.RuleClassifier,rules
185,106,Supervised Data Stream Classification,146,0.358975,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
128,108,Supervised Data Stream Classification,78,0.792202,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
120,92,Supervised Data Stream Classification,70,0.943215,trees.ASHoeffdingTree,trees
129,96,Supervised Data Stream Classification,115,0.099307,functions.NoChange,functions
198,88,Supervised Data Stream Classification,160,0.261174,rules.AMRules,rules
195,88,Supervised Data Stream Classification,157,0.261174,rules.AMRules,rules
126,106,Supervised Data Stream Classification,76,0.016553,meta.WEKAClassifier -l (weka.classifiers.functions.LinearRegression -S 0 -R 1.0E-8),meta
179,90,Supervised Data Stream Classification,140,0.554324,rules.Perceptron,rules
158,95,Supervised Data Stream Classification,118,0.588287,trees.RandomHoeffdingTree,trees
161,93,Supervised Data Stream Classification,121,0.662777,trees.FIMTDD,trees
160,108,Supervised Data Stream Classification,120,0.970606,"meta.WEKAClassifier -l (weka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K ""weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0"")",meta
159,87,Supervised Data Stream Classification,119,0.448116,meta.OzaBoostAdwin,meta
190,98,Supervised Data Stream Classification,152,0.911574,functions.SPegasos,functions
