task_id,flow_id,task_type,dataset_id,predictive_accuracy
3,62,Supervised Classification,3,0.660513
24,74,Supervised Classification,24,1
53,60,Supervised Classification,54,0.70331
36,70,Supervised Classification,36,0.927706
3,61,Supervised Classification,3,0.9903
32,60,Supervised Classification,32,0.965793
12,60,Supervised Classification,12,0.8895
57,57,Supervised Classification,59,0.823362
54,61,Supervised Classification,55,0.787097
10,74,Supervised Classification,10,0.804054
50,67,Supervised Classification,51,0.85034
11,63,Supervised Classification,11,0.9072
29,62,Supervised Classification,29,0.855072
51,62,Supervised Classification,52,0.6
59,56,Supervised Classification,61,0.333333
11,61,Supervised Classification,11,0.7744
7,59,Supervised Classification,7,0.747788
1,59,Supervised Classification,1,0.98441
57,63,Supervised Classification,59,0.883191
40,67,Supervised Classification,41,0.696262
32,70,Supervised Classification,32,0.979894
21,61,Supervised Classification,21,0.884838
55,56,Supervised Classification,56,0.613793
47,76,Supervised Classification,48,0.582781
3,67,Supervised Classification,3,0.874218
41,70,Supervised Classification,42,0.93265
22,57,Supervised Classification,22,0.269
48,72,Supervised Classification,49,0.834983
38,74,Supervised Classification,39,0.854167
40,57,Supervised Classification,41,0.528037
13,59,Supervised Classification,13,0.716783
10,65,Supervised Classification,10,0.851351
58,59,Supervised Classification,60,0.7954
31,56,Supervised Classification,31,0.7
51,75,Supervised Classification,52,0.5
27,60,Supervised Classification,27,0.853261
58,66,Supervised Classification,60,0.7324
4,66,Supervised Classification,4,0.842105
36,64,Supervised Classification,36,0.95974
29,66,Supervised Classification,29,0.813043
35,77,Supervised Classification,35,0.972678
53,57,Supervised Classification,54,0.522459
14,72,Supervised Classification,14,0.777
41,59,Supervised Classification,42,0.918009
50,76,Supervised Classification,51,0.802721
57,66,Supervised Classification,59,0.860399
34,75,Supervised Classification,34,0.7
13,57,Supervised Classification,13,0.674825
32,65,Supervised Classification,32,0.988082
36,72,Supervised Classification,36,0.818615
31,58,Supervised Classification,31,0.753
6,65,Supervised Classification,6,0.9407
16,56,Supervised Classification,16,0.1
9,67,Supervised Classification,9,0.658537
54,74,Supervised Classification,55,0.83871
30,61,Supervised Classification,30,0.966015
49,61,Supervised Classification,50,0.796451
16,59,Supervised Classification,16,0.808
12,67,Supervised Classification,12,0.9335
31,60,Supervised Classification,31,0.709
52,76,Supervised Classification,53,0.781481
10,67,Supervised Classification,10,0.858108
51,61,Supervised Classification,52,0
20,67,Supervised Classification,20,0.9375
48,59,Supervised Classification,49,0.788779
9,70,Supervised Classification,9,0.692683
58,56,Supervised Classification,60,0.3384
28,75,Supervised Classification,28,0.197509
55,65,Supervised Classification,56,0.963218
41,66,Supervised Classification,42,0.910688
20,75,Supervised Classification,20,0.193
24,76,Supervised Classification,24,1
32,56,Supervised Classification,32,0.103712
52,60,Supervised Classification,53,0.785185
29,59,Supervised Classification,29,0.865217
57,64,Supervised Classification,59,0.877493
43,77,Supervised Classification,44,0.919583
39,65,Supervised Classification,40,0.75
13,64,Supervised Classification,13,0.674825
26,60,Supervised Classification,26,0.971296
42,66,Supervised Classification,43,0.679739
54,72,Supervised Classification,55,0.793548
30,76,Supervised Classification,30,0.972227
14,74,Supervised Classification,14,0.742
5,74,Supervised Classification,5,0.530973
2,64,Supervised Classification,2,0.92539
26,57,Supervised Classification,26,0.709722
2,65,Supervised Classification,2,0.94098
16,62,Supervised Classification,16,0.1945
10,60,Supervised Classification,10,0.783784
35,59,Supervised Classification,35,0.855191
39,62,Supervised Classification,40,0.706731
28,74,Supervised Classification,28,0.942171
22,56,Supervised Classification,22,0.1
3,74,Supervised Classification,3,0.974343
38,65,Supervised Classification,39,0.824405
52,67,Supervised Classification,53,0.822222
47,66,Supervised Classification,48,0.642384
52,59,Supervised Classification,53,0.785185
58,57,Supervised Classification,60,0.5338
31,70,Supervised Classification,31,0.751
12,59,Supervised Classification,12,0.889
26,76,Supervised Classification,26,0.972454
13,74,Supervised Classification,13,0.695804
9,65,Supervised Classification,9,0.829268
29,72,Supervised Classification,29,0.855072
51,60,Supervised Classification,52,0.9
57,65,Supervised Classification,59,0.94302
27,65,Supervised Classification,27,0.847826
20,59,Supervised Classification,20,0.876
27,58,Supervised Classification,27,0.793478
47,70,Supervised Classification,48,0.536424
13,61,Supervised Classification,13,0.692308
7,77,Supervised Classification,7,0.831858
41,77,Supervised Classification,42,0.93265
30,58,Supervised Classification,30,0.898959
35,57,Supervised Classification,35,0.502732
31,59,Supervised Classification,31,0.715
37,77,Supervised Classification,37,0.742188
40,75,Supervised Classification,41,0.448598
1,67,Supervised Classification,1,0.961024
43,62,Supervised Classification,44,0.77983
24,77,Supervised Classification,24,0.982398
29,74,Supervised Classification,29,0.847826
40,77,Supervised Classification,41,0.71028
39,60,Supervised Classification,40,0.677885
28,66,Supervised Classification,28,0.987189
50,74,Supervised Classification,51,0.826531
22,70,Supervised Classification,22,0.825
29,64,Supervised Classification,29,0.773913
58,60,Supervised Classification,60,0.7436
21,72,Supervised Classification,21,0.842593
34,72,Supervised Classification,34,0.711111
29,56,Supervised Classification,29,0.555072
30,67,Supervised Classification,30,0.934771
27,62,Supervised Classification,27,0.815217
47,62,Supervised Classification,48,0.377483
39,59,Supervised Classification,40,0.745192
10,66,Supervised Classification,10,0.824324
39,56,Supervised Classification,40,0.533654
39,74,Supervised Classification,40,0.697115
5,72,Supervised Classification,5,0.542035
13,60,Supervised Classification,13,0.748252
47,64,Supervised Classification,48,0.655629
6,58,Supervised Classification,6,0.64105
50,75,Supervised Classification,51,0.79932
55,61,Supervised Classification,56,0.947126
41,74,Supervised Classification,42,0.925329
52,66,Supervised Classification,53,0.722222
11,62,Supervised Classification,11,0.584
38,64,Supervised Classification,39,0.764881
58,62,Supervised Classification,60,0.5686
27,75,Supervised Classification,27,0.82337
55,77,Supervised Classification,56,0.958621
41,65,Supervised Classification,42,0.919473
9,77,Supervised Classification,9,0.804878
49,77,Supervised Classification,50,0.723382
24,70,Supervised Classification,24,1
37,56,Supervised Classification,37,0.651042
1,65,Supervised Classification,1,0.991091
6,63,Supervised Classification,6,0.64205
21,65,Supervised Classification,21,0.935185
18,77,Supervised Classification,18,0.7225
6,74,Supervised Classification,6,0.7736
37,66,Supervised Classification,37,0.703125
