task_id,flow_id,task_type,dataset_id,predictive_accuracy
128,98,Supervised Data Stream Classification,78,0.195319
123,105,Supervised Data Stream Classification,73,0.928378
195,99,Supervised Data Stream Classification,157,0.675727
130,96,Supervised Data Stream Classification,116,0.247072
199,105,Supervised Data Stream Classification,161,0.827132
191,85,Supervised Data Stream Classification,153,0.90071
129,94,Supervised Data Stream Classification,115,0.929207
163,90,Supervised Data Stream Classification,123,0.098669
192,90,Supervised Data Stream Classification,154,0.100203
2056,82,Supervised Data Stream Classification,151,0.785289
128,90,Supervised Data Stream Classification,78,0.100058
200,85,Supervised Data Stream Classification,162,0.884007
191,86,Supervised Data Stream Classification,153,0.893881
161,94,Supervised Data Stream Classification,121,0.743038
178,92,Supervised Data Stream Classification,139,0.93908
165,101,Supervised Data Stream Classification,125,0.912744
181,90,Supervised Data Stream Classification,142,0.208952
195,98,Supervised Data Stream Classification,157,0.172551
177,101,Supervised Data Stream Classification,138,0.833134
172,95,Supervised Data Stream Classification,132,0.77558
131,98,Supervised Data Stream Classification,117,0.129803
158,92,Supervised Data Stream Classification,118,0.732238
196,91,Supervised Data Stream Classification,158,0.573816
176,84,Supervised Data Stream Classification,136,0.875367
193,91,Supervised Data Stream Classification,155,0.625382
199,101,Supervised Data Stream Classification,161,0.828101
193,85,Supervised Data Stream Classification,155,0.740613
189,105,Supervised Data Stream Classification,150,0.42501
177,92,Supervised Data Stream Classification,138,0.872336
198,89,Supervised Data Stream Classification,160,0.261174
166,101,Supervised Data Stream Classification,126,0.721453
166,105,Supervised Data Stream Classification,126,0.780371
177,87,Supervised Data Stream Classification,138,0.832395
187,97,Supervised Data Stream Classification,148,0.396211
181,97,Supervised Data Stream Classification,142,0.791047
198,94,Supervised Data Stream Classification,160,0.620962
1722,67,Learning Curve,23,0.50712831
1728,59,Learning Curve,29,0.857971014
1723,66,Learning Curve,24,1
1720,61,Learning Curve,21,0.884837963
70,61,Learning Curve,11,0.78432
66,60,Learning Curve,7,0.77699115
1722,59,Learning Curve,23,0.532926001
1736,66,Learning Curve,37,0.709635417
97,74,Learning Curve,39,0.855357143
130,87,Supervised Data Stream Classification,116,0.59968
181,84,Supervised Data Stream Classification,142,0.92802
1757,72,Learning Curve,60,0.8542
128,86,Supervised Data Stream Classification,78,0.88902
194,87,Supervised Data Stream Classification,156,0.873801
162,91,Supervised Data Stream Classification,122,0.765041
158,91,Supervised Data Stream Classification,118,0.37916
187,94,Supervised Data Stream Classification,148,0.927395
186,108,Supervised Data Stream Classification,147,0.785789
165,96,Supervised Data Stream Classification,125,0.811082
123,93,Supervised Data Stream Classification,73,0.35448
181,106,Supervised Data Stream Classification,142,0.208952
191,103,Supervised Data Stream Classification,153,0.569571
185,105,Supervised Data Stream Classification,146,0.805862
179,96,Supervised Data Stream Classification,140,0.507252
185,84,Supervised Data Stream Classification,146,0.95266
170,85,Supervised Data Stream Classification,130,0.864928
199,92,Supervised Data Stream Classification,161,0.848822
125,91,Supervised Data Stream Classification,75,0.462766
126,97,Supervised Data Stream Classification,76,0.543507
192,87,Supervised Data Stream Classification,154,0.655604
196,92,Supervised Data Stream Classification,158,0.792337
175,96,Supervised Data Stream Classification,135,0.52156
176,103,Supervised Data Stream Classification,136,0.755987
121,85,Supervised Data Stream Classification,71,0.871953
196,95,Supervised Data Stream Classification,158,0.692928
185,97,Supervised Data Stream Classification,146,0.641024
180,86,Supervised Data Stream Classification,141,0.683503
198,99,Supervised Data Stream Classification,160,0.222377
198,96,Supervised Data Stream Classification,160,0.227103
125,103,Supervised Data Stream Classification,75,0.450947
171,91,Supervised Data Stream Classification,131,0.938932
171,92,Supervised Data Stream Classification,131,0.939817
180,94,Supervised Data Stream Classification,141,0.681056
87,56,Learning Curve,28,0.101423488
194,85,Supervised Data Stream Classification,156,0.876846
124,103,Supervised Data Stream Classification,74,0.090265
189,91,Supervised Data Stream Classification,150,0.610703
190,105,Supervised Data Stream Classification,152,0.665094
123,86,Supervised Data Stream Classification,73,0.95903
200,106,Supervised Data Stream Classification,162,0.385668
174,96,Supervised Data Stream Classification,134,0.086745
65,70,Learning Curve,5,0.706637168
1740,61,Learning Curve,42,0.837481698
187,84,Supervised Data Stream Classification,148,0.931038
126,91,Supervised Data Stream Classification,76,0.751439
193,88,Supervised Data Stream Classification,155,0.501116
1712,66,Learning Curve,13,0.723776224
2097,70,Learning Curve,182,0.868429238
1736,67,Learning Curve,37,0.76171875
1730,64,Learning Curve,31,0.672
175,86,Supervised Data Stream Classification,135,0.648205
186,97,Supervised Data Stream Classification,147,0.337777
195,95,Supervised Data Stream Classification,157,0.672986
172,97,Supervised Data Stream Classification,132,0.533541
2056,79,Supervised Data Stream Classification,151,0.575764
199,87,Supervised Data Stream Classification,161,0.838986
89,72,Learning Curve,30,0.898136305
1703,75,Learning Curve,4,0.912280702
74,70,Learning Curve,15,0.966094421
96,56,Learning Curve,37,0.651041667
75,62,Learning Curve,16,0.19435
1723,77,Learning Curve,24,0.982274742
88,72,Learning Curve,29,0.855072464
1730,77,Learning Curve,31,0.724
65,57,Learning Curve,5,0.592920354
1701,77,Learning Curve,2,0.987750557
62,74,Learning Curve,2,0.877060134
86,65,Learning Curve,27,0.847554348
63,76,Learning Curve,3,0.990425532
116,65,Learning Curve,59,0.928774929
72,76,Learning Curve,13,0.693006993
66,59,Learning Curve,7,0.736725664
97,77,Learning Curve,39,0.834821429
1719,62,Learning Curve,20,0.194
1703,56,Learning Curve,4,0.649122807
1735,63,Learning Curve,36,0.797835498
98,74,Learning Curve,40,0.739903846
1703,58,Learning Curve,4,0.947368421
66,72,Learning Curve,7,0.437168142
1736,62,Learning Curve,37,0.717447917
162,108,Supervised Data Stream Classification,122,0.874158
170,96,Supervised Data Stream Classification,130,0.142979
120,101,Supervised Data Stream Classification,70,0.91825
159,91,Supervised Data Stream Classification,119,0.434986
174,98,Supervised Data Stream Classification,134,0.029386
176,94,Supervised Data Stream Classification,136,0.874447
196,86,Supervised Data Stream Classification,158,0.836596
165,106,Supervised Data Stream Classification,125,0.898274
166,84,Supervised Data Stream Classification,126,0.787825
190,103,Supervised Data Stream Classification,152,0.543312
164,94,Supervised Data Stream Classification,124,0.882616
198,92,Supervised Data Stream Classification,160,0.452721
120,106,Supervised Data Stream Classification,70,0.009398
131,95,Supervised Data Stream Classification,117,0.616063
170,92,Supervised Data Stream Classification,130,0.86324
183,94,Supervised Data Stream Classification,144,0.924543
125,95,Supervised Data Stream Classification,75,0.643975
161,99,Supervised Data Stream Classification,121,0.745847
160,95,Supervised Data Stream Classification,120,0.950819
165,90,Supervised Data Stream Classification,125,0.898274
192,92,Supervised Data Stream Classification,154,0.690237
188,105,Supervised Data Stream Classification,149,0.173614
167,86,Supervised Data Stream Classification,127,0.899217
122,91,Supervised Data Stream Classification,72,0.831963
198,91,Supervised Data Stream Classification,160,0.35616
163,103,Supervised Data Stream Classification,123,0.203978
162,86,Supervised Data Stream Classification,122,0.903191
128,101,Supervised Data Stream Classification,78,0.608497
190,106,Supervised Data Stream Classification,152,0.499993
167,101,Supervised Data Stream Classification,127,0.782105
124,84,Supervised Data Stream Classification,74,0.522799
166,85,Supervised Data Stream Classification,126,0.787588
183,105,Supervised Data Stream Classification,144,0.917091
162,84,Supervised Data Stream Classification,122,0.8983
2056,86,Supervised Data Stream Classification,151,0.86743
172,92,Supervised Data Stream Classification,132,0.871091
194,94,Supervised Data Stream Classification,156,0.842427
176,90,Supervised Data Stream Classification,136,0.54081
179,92,Supervised Data Stream Classification,140,0.887591
160,98,Supervised Data Stream Classification,120,0.878537
199,93,Supervised Data Stream Classification,161,0.385658
193,98,Supervised Data Stream Classification,155,0.74942
2056,106,Supervised Data Stream Classification,151,0.424545
177,84,Supervised Data Stream Classification,138,0.872702
123,96,Supervised Data Stream Classification,73,0.542727
123,94,Supervised Data Stream Classification,73,0.960553
125,108,Supervised Data Stream Classification,75,0.684861
167,91,Supervised Data Stream Classification,127,0.464881
180,105,Supervised Data Stream Classification,141,0.511198
168,108,Supervised Data Stream Classification,128,0.768679
191,97,Supervised Data Stream Classification,153,0.499391
199,103,Supervised Data Stream Classification,161,0.675663
185,98,Supervised Data Stream Classification,146,0.88375
161,85,Supervised Data Stream Classification,121,0.69807
193,106,Supervised Data Stream Classification,155,0.501116
122,105,Supervised Data Stream Classification,72,0.83164
198,85,Supervised Data Stream Classification,160,0.593582
127,103,Supervised Data Stream Classification,77,0.723822
158,90,Supervised Data Stream Classification,118,0.099535
185,103,Supervised Data Stream Classification,146,0.822655
191,92,Supervised Data Stream Classification,153,0.890483
198,108,Supervised Data Stream Classification,160,0.269478
120,103,Supervised Data Stream Classification,70,0.828019
175,101,Supervised Data Stream Classification,135,0.650147
165,108,Supervised Data Stream Classification,125,0.916422
169,96,Supervised Data Stream Classification,129,0.201546
169,92,Supervised Data Stream Classification,129,0.970691
125,85,Supervised Data Stream Classification,75,0.796274
174,91,Supervised Data Stream Classification,134,0.462884
167,105,Supervised Data Stream Classification,127,0.79673
187,96,Supervised Data Stream Classification,148,0.233557
185,92,Supervised Data Stream Classification,146,0.946066
190,96,Supervised Data Stream Classification,152,0.499941
122,95,Supervised Data Stream Classification,72,0.879019
130,94,Supervised Data Stream Classification,116,0.609971
129,92,Supervised Data Stream Classification,115,0.95448
171,97,Supervised Data Stream Classification,131,0.938761
120,95,Supervised Data Stream Classification,70,0.868696
130,92,Supervised Data Stream Classification,116,0.711786
182,101,Supervised Data Stream Classification,143,0.958626
175,108,Supervised Data Stream Classification,135,0.654353
131,97,Supervised Data Stream Classification,117,0.422709
121,101,Supervised Data Stream Classification,71,0.795429
186,90,Supervised Data Stream Classification,147,0.337805
131,94,Supervised Data Stream Classification,117,0.616237
163,87,Supervised Data Stream Classification,123,0.934566
131,84,Supervised Data Stream Classification,117,0.672613
192,101,Supervised Data Stream Classification,154,0.364278
184,97,Supervised Data Stream Classification,145,0.091239
185,99,Supervised Data Stream Classification,146,0.900359
193,86,Supervised Data Stream Classification,155,0.881518
171,84,Supervised Data Stream Classification,131,0.940367
129,97,Supervised Data Stream Classification,115,0.100052
187,92,Supervised Data Stream Classification,148,0.92871
131,106,Supervised Data Stream Classification,117,0.150387
121,84,Supervised Data Stream Classification,71,0.871953
164,87,Supervised Data Stream Classification,124,0.84563
164,86,Supervised Data Stream Classification,124,0.874731
200,94,Supervised Data Stream Classification,162,0.88306
2056,94,Supervised Data Stream Classification,151,0.833863
159,85,Supervised Data Stream Classification,119,0.504196
185,108,Supervised Data Stream Classification,146,0.904554
124,86,Supervised Data Stream Classification,74,0.275698
188,89,Supervised Data Stream Classification,149,0.444811
177,106,Supervised Data Stream Classification,138,0.634862
158,101,Supervised Data Stream Classification,118,0.575358
121,99,Supervised Data Stream Classification,71,0.82866
162,101,Supervised Data Stream Classification,122,0.839871
189,106,Supervised Data Stream Classification,150,0.364605
195,93,Supervised Data Stream Classification,157,0.261174
163,93,Supervised Data Stream Classification,123,0.098669
175,93,Supervised Data Stream Classification,135,0.605948
186,101,Supervised Data Stream Classification,147,0.702944
194,91,Supervised Data Stream Classification,156,0.503018
182,108,Supervised Data Stream Classification,143,0.958748
170,95,Supervised Data Stream Classification,130,0.783024
194,98,Supervised Data Stream Classification,156,0.169972
77,70,Learning Curve,18,0.70505
197,93,Supervised Data Stream Classification,159,0.261174
193,95,Supervised Data Stream Classification,155,0.633082
184,101,Supervised Data Stream Classification,145,0.342778
2098,65,Learning Curve,183,0.234378741
183,91,Supervised Data Stream Classification,144,0.925663
130,86,Supervised Data Stream Classification,116,0.657765
162,96,Supervised Data Stream Classification,122,0.533568
192,106,Supervised Data Stream Classification,154,0.100203
178,103,Supervised Data Stream Classification,139,0.729512
130,106,Supervised Data Stream Classification,116,0.150387
123,84,Supervised Data Stream Classification,73,0.962073
126,99,Supervised Data Stream Classification,76,0.844389
163,94,Supervised Data Stream Classification,123,0.893682
116,77,Learning Curve,59,0.908262108
197,84,Supervised Data Stream Classification,159,0.373592
191,95,Supervised Data Stream Classification,153,0.780788
122,103,Supervised Data Stream Classification,72,0.673962
126,85,Supervised Data Stream Classification,76,0.90867
2098,61,Learning Curve,183,0.255685899
1710,63,Learning Curve,11,0.904
170,84,Supervised Data Stream Classification,130,0.864928
159,93,Supervised Data Stream Classification,119,0.427789
1720,62,Learning Curve,21,0.700231481
2094,67,Learning Curve,179,0.824863847
86,66,Learning Curve,27,0.792934783
2097,75,Learning Curve,182,0.437947123
2102,70,Learning Curve,188,0.642663043
88,62,Learning Curve,29,0.855072464
1711,67,Learning Curve,12,0.933
1701,70,Learning Curve,2,0.867483296
174,86,Supervised Data Stream Classification,134,0.909918
122,96,Supervised Data Stream Classification,72,0.500524
172,87,Supervised Data Stream Classification,132,0.809477
183,99,Supervised Data Stream Classification,144,0.922578
198,105,Supervised Data Stream Classification,160,0.25617
199,90,Supervised Data Stream Classification,161,0.385658
128,93,Supervised Data Stream Classification,78,0.100058
124,94,Supervised Data Stream Classification,74,0.516134
120,96,Supervised Data Stream Classification,70,0.59649
125,90,Supervised Data Stream Classification,75,0.00243
199,106,Supervised Data Stream Classification,161,0.385658
183,106,Supervised Data Stream Classification,144,0.922578
177,98,Supervised Data Stream Classification,138,0.850019
177,105,Supervised Data Stream Classification,138,0.862894
187,90,Supervised Data Stream Classification,148,0.396212
196,101,Supervised Data Stream Classification,158,0.636811
124,101,Supervised Data Stream Classification,74,0.371882
193,92,Supervised Data Stream Classification,155,0.760685
124,91,Supervised Data Stream Classification,74,0.251008
124,99,Supervised Data Stream Classification,74,0.427575
130,98,Supervised Data Stream Classification,116,0.129053
176,85,Supervised Data Stream Classification,136,0.875416
180,87,Supervised Data Stream Classification,141,0.683503
125,101,Supervised Data Stream Classification,75,0.541765
176,97,Supervised Data Stream Classification,136,0.5408
172,108,Supervised Data Stream Classification,132,0.833457
130,84,Supervised Data Stream Classification,116,0.665835
189,99,Supervised Data Stream Classification,150,0.592249
167,95,Supervised Data Stream Classification,127,0.779786
178,101,Supervised Data Stream Classification,139,0.825874
196,105,Supervised Data Stream Classification,158,0.493374
167,90,Supervised Data Stream Classification,127,0.104217
168,101,Supervised Data Stream Classification,128,0.681746
178,96,Supervised Data Stream Classification,139,0.499378
167,92,Supervised Data Stream Classification,127,0.886574
192,96,Supervised Data Stream Classification,154,0.100347
129,98,Supervised Data Stream Classification,115,0.180142
165,93,Supervised Data Stream Classification,125,0.898274
158,87,Supervised Data Stream Classification,118,0.767026
197,97,Supervised Data Stream Classification,159,0.300093
172,85,Supervised Data Stream Classification,132,0.884613
178,87,Supervised Data Stream Classification,139,0.905996
181,92,Supervised Data Stream Classification,142,0.922827
162,106,Supervised Data Stream Classification,122,0.629653
189,98,Supervised Data Stream Classification,150,0.758002
126,103,Supervised Data Stream Classification,76,0.726468
183,84,Supervised Data Stream Classification,144,0.924778
171,99,Supervised Data Stream Classification,131,0.939015
122,90,Supervised Data Stream Classification,72,0.521875
130,91,Supervised Data Stream Classification,116,0.438535
189,92,Supervised Data Stream Classification,150,0.803119
172,93,Supervised Data Stream Classification,132,0.466444
191,99,Supervised Data Stream Classification,153,0.743284
121,87,Supervised Data Stream Classification,71,0.845983
165,97,Supervised Data Stream Classification,125,0.898274
197,96,Supervised Data Stream Classification,159,0.227103
175,95,Supervised Data Stream Classification,135,0.6563
192,93,Supervised Data Stream Classification,154,0.100203
122,92,Supervised Data Stream Classification,72,0.95074
191,84,Supervised Data Stream Classification,153,0.897421
193,108,Supervised Data Stream Classification,155,0.454195
196,106,Supervised Data Stream Classification,158,0.261174
195,105,Supervised Data Stream Classification,157,0.484033
122,97,Supervised Data Stream Classification,72,0.521867
125,96,Supervised Data Stream Classification,75,0.226436
200,92,Supervised Data Stream Classification,162,0.84887
2056,85,Supervised Data Stream Classification,151,0.843463
190,92,Supervised Data Stream Classification,152,0.787622
184,105,Supervised Data Stream Classification,145,0.370365
192,95,Supervised Data Stream Classification,154,0.375639
169,93,Supervised Data Stream Classification,129,0.304611
163,85,Supervised Data Stream Classification,123,0.906541
186,85,Supervised Data Stream Classification,147,0.840467
177,91,Supervised Data Stream Classification,138,0.801473
192,98,Supervised Data Stream Classification,154,0.16892
167,99,Supervised Data Stream Classification,127,0.802662
159,106,Supervised Data Stream Classification,119,0.427789
176,87,Supervised Data Stream Classification,136,0.842979
121,96,Supervised Data Stream Classification,71,0.59649
159,92,Supervised Data Stream Classification,119,0.506293
1722,57,Learning Curve,23,0.470468432
1714,61,Learning Curve,15,0.942775393
172,106,Supervised Data Stream Classification,132,0.466444
1702,66,Learning Curve,3,0.964330413
130,97,Supervised Data Stream Classification,116,0.422709
180,97,Supervised Data Stream Classification,141,0.257824
131,92,Supervised Data Stream Classification,117,0.72054
63,61,Learning Curve,3,0.988516896
121,91,Supervised Data Stream Classification,71,0.768115
123,99,Supervised Data Stream Classification,73,0.933398
83,56,Learning Curve,24,0.517971443
161,86,Supervised Data Stream Classification,121,0.72512
178,94,Supervised Data Stream Classification,139,0.938088
128,99,Supervised Data Stream Classification,78,0.59823
195,89,Supervised Data Stream Classification,157,0.261174
188,88,Supervised Data Stream Classification,149,0.444811
166,87,Supervised Data Stream Classification,126,0.71443
166,95,Supervised Data Stream Classification,126,0.751899
159,94,Supervised Data Stream Classification,119,0.505516
164,103,Supervised Data Stream Classification,124,0.851796
2056,97,Supervised Data Stream Classification,151,0.575344
176,108,Supervised Data Stream Classification,136,0.864223
188,98,Supervised Data Stream Classification,149,0.703664
162,93,Supervised Data Stream Classification,122,0.629653
164,85,Supervised Data Stream Classification,124,0.884862
182,95,Supervised Data Stream Classification,143,0.915283
164,90,Supervised Data Stream Classification,124,0.445102
120,86,Supervised Data Stream Classification,70,0.956358
188,96,Supervised Data Stream Classification,149,0.827207
128,97,Supervised Data Stream Classification,78,0.100149
163,86,Supervised Data Stream Classification,123,0.944988
200,98,Supervised Data Stream Classification,162,0.794898
182,90,Supervised Data Stream Classification,143,0.613472
121,98,Supervised Data Stream Classification,71,0.110562
120,91,Supervised Data Stream Classification,70,0.839836
180,93,Supervised Data Stream Classification,141,0.250676
164,101,Supervised Data Stream Classification,124,0.856098
194,106,Supervised Data Stream Classification,156,0.261174
182,92,Supervised Data Stream Classification,143,0.963997
164,92,Supervised Data Stream Classification,124,0.883326
163,106,Supervised Data Stream Classification,123,0.098669
161,108,Supervised Data Stream Classification,121,0.791906
166,93,Supervised Data Stream Classification,126,0.699587
163,96,Supervised Data Stream Classification,123,0.099303
181,99,Supervised Data Stream Classification,142,0.862451
164,97,Supervised Data Stream Classification,124,0.554895
188,87,Supervised Data Stream Classification,149,0.930702
129,87,Supervised Data Stream Classification,115,0.967452
182,103,Supervised Data Stream Classification,143,0.949379
196,94,Supervised Data Stream Classification,158,0.793803
160,97,Supervised Data Stream Classification,120,0.518292
182,91,Supervised Data Stream Classification,143,0.921394
124,105,Supervised Data Stream Classification,74,0.408759
200,108,Supervised Data Stream Classification,162,0.831267
197,85,Supervised Data Stream Classification,159,0.519862
166,99,Supervised Data Stream Classification,126,0.726519
128,84,Supervised Data Stream Classification,78,0.849831
193,93,Supervised Data Stream Classification,155,0.501116
170,99,Supervised Data Stream Classification,130,0.835679
123,92,Supervised Data Stream Classification,73,0.960658
178,86,Supervised Data Stream Classification,139,0.949817
179,99,Supervised Data Stream Classification,140,0.837582
165,85,Supervised Data Stream Classification,125,0.916547
123,87,Supervised Data Stream Classification,73,0.952529
188,86,Supervised Data Stream Classification,149,0.893154
184,108,Supervised Data Stream Classification,145,0.415342
168,92,Supervised Data Stream Classification,128,0.687886
169,86,Supervised Data Stream Classification,129,0.984635
184,87,Supervised Data Stream Classification,145,0.777567
198,106,Supervised Data Stream Classification,160,0.261174
130,90,Supervised Data Stream Classification,116,0.150387
160,103,Supervised Data Stream Classification,120,0.974929
161,84,Supervised Data Stream Classification,121,0.770235
131,87,Supervised Data Stream Classification,117,0.61785
175,99,Supervised Data Stream Classification,135,0.653158
163,97,Supervised Data Stream Classification,123,0.101448
126,96,Supervised Data Stream Classification,76,0.464515
168,87,Supervised Data Stream Classification,128,0.709879
171,106,Supervised Data Stream Classification,131,0.938761
165,91,Supervised Data Stream Classification,125,0.907931
125,87,Supervised Data Stream Classification,75,0.80215
127,84,Supervised Data Stream Classification,77,0.779789
190,87,Supervised Data Stream Classification,152,0.747625
194,99,Supervised Data Stream Classification,156,0.731134
129,103,Supervised Data Stream Classification,115,0.237129
162,99,Supervised Data Stream Classification,122,0.841381
180,95,Supervised Data Stream Classification,141,0.600642
123,98,Supervised Data Stream Classification,73,0.928045
172,96,Supervised Data Stream Classification,132,0.502575
164,96,Supervised Data Stream Classification,124,0.505557
198,90,Supervised Data Stream Classification,160,0.261174
187,105,Supervised Data Stream Classification,148,0.920693
130,85,Supervised Data Stream Classification,116,0.586543
184,95,Supervised Data Stream Classification,145,0.424819
2056,108,Supervised Data Stream Classification,151,0.575057
127,101,Supervised Data Stream Classification,77,0.736961
183,92,Supervised Data Stream Classification,144,0.924425
163,105,Supervised Data Stream Classification,123,0.895423
184,86,Supervised Data Stream Classification,145,0.766917
125,84,Supervised Data Stream Classification,75,0.795247
180,106,Supervised Data Stream Classification,141,0.250676
197,105,Supervised Data Stream Classification,159,0.243453
172,91,Supervised Data Stream Classification,132,0.647534
181,93,Supervised Data Stream Classification,142,0.208952
125,86,Supervised Data Stream Classification,75,0.798485
178,91,Supervised Data Stream Classification,139,0.813438
127,85,Supervised Data Stream Classification,77,0.779911
120,93,Supervised Data Stream Classification,70,0.009398
169,87,Supervised Data Stream Classification,129,0.974611
187,98,Supervised Data Stream Classification,148,0.568515
176,105,Supervised Data Stream Classification,136,0.862704
191,106,Supervised Data Stream Classification,153,0.500166
124,98,Supervised Data Stream Classification,74,0.038406
166,106,Supervised Data Stream Classification,126,0.699587
127,98,Supervised Data Stream Classification,77,0.700754
189,84,Supervised Data Stream Classification,150,0.841117
2056,88,Supervised Data Stream Classification,151,0.424545
174,106,Supervised Data Stream Classification,134,0.029618
174,92,Supervised Data Stream Classification,134,0.894311
170,108,Supervised Data Stream Classification,130,0.826218
122,98,Supervised Data Stream Classification,72,0.919348
190,99,Supervised Data Stream Classification,152,0.613939
168,96,Supervised Data Stream Classification,128,0.511738
121,108,Supervised Data Stream Classification,71,0.822432
194,105,Supervised Data Stream Classification,156,0.510664
171,87,Supervised Data Stream Classification,131,0.91985
189,86,Supervised Data Stream Classification,150,0.899558
195,101,Supervised Data Stream Classification,157,0.641524
191,87,Supervised Data Stream Classification,153,0.815881
183,96,Supervised Data Stream Classification,144,0.854482
189,97,Supervised Data Stream Classification,150,0.487585
165,92,Supervised Data Stream Classification,125,0.916293
128,95,Supervised Data Stream Classification,78,0.552691
184,98,Supervised Data Stream Classification,145,0.107296
182,99,Supervised Data Stream Classification,143,0.950653
178,95,Supervised Data Stream Classification,139,0.855686
121,95,Supervised Data Stream Classification,71,0.815297
162,103,Supervised Data Stream Classification,122,0.813164
176,92,Supervised Data Stream Classification,136,0.873837
185,85,Supervised Data Stream Classification,146,0.95266
176,96,Supervised Data Stream Classification,136,0.499955
158,94,Supervised Data Stream Classification,118,0.72564
185,96,Supervised Data Stream Classification,146,0.540242
174,87,Supervised Data Stream Classification,134,0.889955
159,96,Supervised Data Stream Classification,119,0.350333
183,98,Supervised Data Stream Classification,144,0.921503
194,103,Supervised Data Stream Classification,156,0.402455
121,103,Supervised Data Stream Classification,71,0.758388
185,87,Supervised Data Stream Classification,146,0.945852
198,98,Supervised Data Stream Classification,160,0.212399
181,95,Supervised Data Stream Classification,142,0.892635
190,86,Supervised Data Stream Classification,152,0.836562
125,98,Supervised Data Stream Classification,75,0.016737
186,96,Supervised Data Stream Classification,147,0.333994
168,97,Supervised Data Stream Classification,128,0.57702
197,90,Supervised Data Stream Classification,159,0.261174
174,95,Supervised Data Stream Classification,134,0.729742
160,105,Supervised Data Stream Classification,120,0.929687
170,86,Supervised Data Stream Classification,130,0.857601
180,101,Supervised Data Stream Classification,141,0.580515
169,97,Supervised Data Stream Classification,129,0.304607
169,103,Supervised Data Stream Classification,129,0.464401
194,96,Supervised Data Stream Classification,156,0.227103
170,93,Supervised Data Stream Classification,130,0.142988
184,91,Supervised Data Stream Classification,145,0.242556
161,87,Supervised Data Stream Classification,121,0.684333
197,87,Supervised Data Stream Classification,159,0.394736
187,99,Supervised Data Stream Classification,148,0.895971
181,85,Supervised Data Stream Classification,142,0.92802
175,85,Supervised Data Stream Classification,135,0.665615
193,105,Supervised Data Stream Classification,155,0.192215
123,103,Supervised Data Stream Classification,73,0.824985
120,85,Supervised Data Stream Classification,70,0.946149
188,84,Supervised Data Stream Classification,149,0.831059
2056,81,Supervised Data Stream Classification,151,0.783788
169,106,Supervised Data Stream Classification,129,0.304611
188,92,Supervised Data Stream Classification,149,0.793415
191,94,Supervised Data Stream Classification,153,0.886809
188,108,Supervised Data Stream Classification,149,0.48761
170,98,Supervised Data Stream Classification,130,0.246262
123,97,Supervised Data Stream Classification,73,0.645518
163,84,Supervised Data Stream Classification,123,0.930198
197,95,Supervised Data Stream Classification,159,0.30545
127,90,Supervised Data Stream Classification,77,0.702823
168,94,Supervised Data Stream Classification,128,0.745589
126,87,Supervised Data Stream Classification,76,0.884213
196,96,Supervised Data Stream Classification,158,0.227103
192,86,Supervised Data Stream Classification,154,0.695692
179,86,Supervised Data Stream Classification,140,0.883915
159,97,Supervised Data Stream Classification,119,0.427662
158,97,Supervised Data Stream Classification,118,0.099854
190,97,Supervised Data Stream Classification,152,0.499161
177,90,Supervised Data Stream Classification,138,0.634862
123,90,Supervised Data Stream Classification,73,0.35448
163,99,Supervised Data Stream Classification,123,0.654585
161,97,Supervised Data Stream Classification,121,0.662775
131,105,Supervised Data Stream Classification,117,0.730457
125,106,Supervised Data Stream Classification,75,0.00243
195,108,Supervised Data Stream Classification,157,0.488959
158,106,Supervised Data Stream Classification,118,0.099535
185,95,Supervised Data Stream Classification,146,0.891157
172,99,Supervised Data Stream Classification,132,0.724211
170,105,Supervised Data Stream Classification,130,0.78891
186,92,Supervised Data Stream Classification,147,0.834978
193,103,Supervised Data Stream Classification,155,0.481404
169,94,Supervised Data Stream Classification,129,0.966195
168,93,Supervised Data Stream Classification,128,0.422977
196,108,Supervised Data Stream Classification,158,0.488585
171,103,Supervised Data Stream Classification,131,0.939015
162,85,Supervised Data Stream Classification,122,0.8983
199,108,Supervised Data Stream Classification,161,0.831273
166,103,Supervised Data Stream Classification,126,0.716243
159,108,Supervised Data Stream Classification,119,0.478389
169,105,Supervised Data Stream Classification,129,0.983853
190,94,Supervised Data Stream Classification,152,0.866892
169,85,Supervised Data Stream Classification,129,0.985754
189,87,Supervised Data Stream Classification,150,0.925069
121,97,Supervised Data Stream Classification,71,0.759512
171,94,Supervised Data Stream Classification,131,0.939696
130,95,Supervised Data Stream Classification,116,0.609747
189,94,Supervised Data Stream Classification,150,0.818942
163,98,Supervised Data Stream Classification,123,0.193347
164,95,Supervised Data Stream Classification,124,0.853908
129,106,Supervised Data Stream Classification,115,0.100128
182,84,Supervised Data Stream Classification,143,0.965324
174,97,Supervised Data Stream Classification,134,0.133235
161,105,Supervised Data Stream Classification,121,0.793052
127,86,Supervised Data Stream Classification,77,0.742557
162,94,Supervised Data Stream Classification,122,0.894307
164,99,Supervised Data Stream Classification,124,0.858409
166,94,Supervised Data Stream Classification,126,0.780748
197,106,Supervised Data Stream Classification,159,0.261174
120,90,Supervised Data Stream Classification,70,0.009398
165,95,Supervised Data Stream Classification,125,0.910623
122,94,Supervised Data Stream Classification,72,0.951389
179,108,Supervised Data Stream Classification,140,0.876505
188,85,Supervised Data Stream Classification,149,0.784014
199,84,Supervised Data Stream Classification,161,0.855245
188,91,Supervised Data Stream Classification,149,0.607939
