task_id,flow_id,predictive_accuracy
2199,70,0
2203,94,0.92623
2151,98,0
52,61,0.751852
159,94,0.505516
2128,95,0.80968
42,70,0
58,82,0
197,98,0
2219,94,0.7
40,75,0.448598
124,91,0.251008
2200,99,0
129,65,0
2207,81,0.663462
176,101,0.819816
2214,95,0.462121
159,96,0.350333
162,105,0.856193
2167,60,0
2186,99,0.1
194,91,0.503018
164,78,0.868703
2156,78,0.766185
12,80,0
2190,94,0
162,85,0.8983
195,95,0.672986
2181,86,0
86,56,0.630434783
2237,78,0.45082
2235,101,0.497041
42,66,0.679739
2169,91,0
2159,90,0
49,57,0.699374
2155,98,0.779834
159,108,0
96,77,0.750651042
2160,106,0.467462
2193,62,0
2219,83,0
2182,105,0.1
88,103,0
2056,98,0.842602
123,99,0.933398
2226,78,0
189,94,0
194,87,0
1717,83,0
2189,101,0.734375
2225,103,0
121,96,0.59649
2154,106,0
98,72,0.682692308
79,103,0
2127,108,0
190,94,0.866892
2176,103,0.42029
2176,101,0
2188,90,0.1
2211,91,0
184,86,0
2179,65,0
2164,87,0.668942
195,81,0.883362
126,93,0.016553
97,77,0.834821429
1740,65,0.920937042
2195,97,0.619565
2251,82,0
184,76,0
1713,103,0
2165,86,0
170,57,0
81,106,0
2153,82,0.851662
2129,85,0
1721,78,0
72,83,0
2192,91,0.756401
2221,79,0.264775
58,106,0
130,80,0
2241,106,0.99531
187,79,0
2128,78,0.80958
2252,92,0.969847
2178,81,0
68,66,0.740487805
2251,84,0.516304
2235,80,0.39645
2245,90,0
2056,89,0.424545
179,78,0.875771
2237,59,0
2210,56,0
2242,57,0
2149,83,0.456595
2184,84,0
2166,108,0.320998
178,58,0
83,76,1
199,96,0.533791
2230,97,0
2217,96,0.997912
165,106,0
51,60,0.9
122,95,0
2234,87,0
2249,79,0
197,95,0
172,90,0.466444
2206,92,0.8125
2134,87,0.974042
2127,82,0.892036
2242,95,0.566845
130,78,0
2152,93,0
182,87,0.961342
163,82,0
160,90,0.518298
91,90,0
20,59,0.876
186,108,0.785789
2189,94,0.827546
174,85,0.902813
2228,91,0.405941
2167,85,0.886759
24,91,0
175,75,0
165,99,0
2177,87,0.395122
187,82,0.921622
2163,87,0.85263
2186,98,0
181,67,0
58,66,0.7324
77,65,0.69285
2102,70,0.642663043
2158,96,0.511949
2203,81,0.863388
188,97,0
159,83,0
2152,98,0.616686
2243,84,0.675
2132,99,0.850675
184,101,0.342778
189,77,0
2223,79,0
169,93,0.304611
2213,93,0
2237,91,0
2226,91,0.3336
2204,83,0.782251
26,61,0.960494
121,72,0
2174,81,0
2150,83,0.678356
172,91,0.647534
2167,97,0.338333
89,93,0
2195,93,0.630435
194,82,0.889929
69,57,0.746621622
2218,82,0
2220,87,0
3,98,0
2156,94,0.775386
2186,80,0.7325
200,105,0
2126,91,0
158,84,0.748101
2159,78,0.986178
2156,74,0
126,99,0
175,93,0.605948
2244,90,0
22,62,0.196
170,85,0.864928
2178,91,0.540541
2056,85,0.843463
187,90,0
125,106,0.00243
2056,108,0
185,99,0.900359
2252,97,0
127,95,0
2129,105,0
2245,81,0.561321
2246,90,0
2129,79,0.914844
2215,85,0
174,79,0.049311
174,84,0.905172
2198,92,0.926731
2149,92,0.6498
181,84,0.92802
63,61,0.988516896
116,101,0
1703,59,0
197,89,0.261174
179,90,0.554324
2150,108,0.727749
81,64,0.6253
2210,94,0
2201,85,0.685185
2168,93,0.396504
2171,81,0
164,106,0.445102
2199,58,0
2251,96,0.392663
2197,97,0.552174
172,76,0
2230,98,0.6875
2190,84,0.7915
2164,94,0
40,92,0
24,72,0.998769
2193,82,0.622283
2239,86,0.933333
42,72,0.735294
2170,86,0
2200,84,0.879367
1757,67,0
29,72,0.855072
2245,98,0.429245
2198,86,0.922163
99,56,0.355140187
2252,98,0
2175,85,0
171,103,0
124,96,0.038168
2189,84,0.8125
169,86,0.984635
2216,108,0
2234,105,0.5
2211,105,0.248207
126,85,0.90867
2240,90,0
2170,91,0.760579
3,77,0.93836
2221,85,0.439716
2,86,0
180,94,0.681056
2194,87,0.953704
161,96,0.5522
2216,105,0.544554
2203,79,0
2173,97,0
164,94,0.882616
125,79,0
64,66,0.857894737
2215,95,0.384106
2131,98,0
32,60,0.965793
40,80,0
2239,106,0.933333
176,85,0.875416
166,97,0
197,105,0.243453
2157,82,0.788086
199,99,0
2183,98,0.801144
2205,105,0
86,82,0
186,78,0.815955
129,79,0
196,92,0.792337
2221,96,0.257683
171,85,0.940356
181,95,0.892635
239,70,0.58209
2250,78,0
160,106,0.518298
90,56,0.7
2196,84,0.881317
130,101,0.422473
169,85,0.985754
68,67,0.662439024
2158,108,0.769498
2204,90,0
196,85,0.845982
75,81,0
2154,84,0
2223,64,0
124,86,0.275698
80,108,0
2230,79,0.6875
123,105,0
124,92,0.50951
2229,90,0.347102
2235,82,0.585799
128,82,0.670009
2190,82,0.8195
197,96,0
180,78,0.534593
2199,80,0
186,79,0.526646
191,67,0
122,83,0
2204,82,0.902165
65,78,0
2168,103,0.638863
2130,82,0.355293
2179,81,0
177,99,0.83509
2155,92,0
2203,78,0.907104
77,58,0.69325
199,85,0.885787
2229,97,0.652873
9,99,0
2230,81,0.71875
172,80,0
2194,85,0.906559
175,86,0
2245,108,0.365229
2158,85,0.776568
2225,84,0.763533
2184,78,0.922
2194,60,0
169,77,0
2219,91,0.5
2243,85,0.675
2219,99,0.5
2168,99,0
1775,56,0.4608
2197,85,0
175,92,0
2244,98,0
94,61,0
2160,96,0.502071
2222,90,0.206452
2268,84,0
2205,87,0
130,84,0.665835
2224,82,0.364646
2167,99,0
2133,85,0
98,59,0.741346154
96,81,0
2154,91,0
161,108,0
2230,95,0.65625
2242,92,0.71123
2150,106,0.099988
2159,95,0.836119
2223,108,0
2166,93,0
2159,94,0.973154
172,85,0
2183,95,0
43,57,0
2193,93,0.663043
2251,98,0.271739
2269,96,0
2201,94,0
2220,93,0.555556
2186,79,0.1995
20,91,0
159,91,0
2153,99,0
127,92,0.779244
1702,57,0.673028786
125,88,0
2239,81,0
98,60,0.721153846
39,81,0
2236,99,0.5
2243,105,0.675
2196,85,0.881317
2224,93,0
2176,96,0
122,108,0
2130,91,0.144586
2171,85,0.97184
121,84,0
179,75,0
2236,101,0.5
2209,86,0.868228
187,101,0
2234,94,0
1721,87,0
12,76,0.9375
183,86,0.924096
70,99,0
96,74,0.775
2200,72,0
2164,84,0.679646
2205,93,0
2,97,0
165,97,0.898274
6,58,0.64105
2180,90,0.1
2132,96,0.463744
2212,83,0.571429
2212,93,0
179,84,0
168,81,0
2197,61,0
80,72,0.84525463
2206,90,0.425595
181,85,0.92802
2224,95,0
16,56,0.1
2193,83,0.668478
2239,101,0.933333
2226,108,0.747
171,90,0.938761
2227,96,0
2166,70,0
2133,83,0.812452
165,90,0.898274
2186,72,0
2204,84,0
55,103,0
2205,101,0
2131,62,0
57,57,0.823362
126,80,0.903868
2227,105,0.333333
122,80,0.95074
167,90,0
2193,105,0.663043
120,92,0.943215
2218,97,0
165,90,0
174,78,0.901925
159,97,0
176,98,0.818057
125,78,0.68822
1723,81,0
2158,99,0.577888
55,99,0
116,61,0.893447293
2188,103,0.1
2243,91,0
2207,106,0
2226,106,0
2250,98,0
50,79,0
178,93,0.498881
2190,80,0
122,106,0
2232,90,0
10,64,0.783784
180,81,0.590569
86,61,0.843478261
2199,101,0
2130,99,0.341811
2166,81,0.356782
125,101,0.541765
2167,95,0
168,93,0.422977
2178,94,0.743243
2252,101,0
163,103,0.203978
2215,81,0
127,78,0
2226,80,0.8008
65,59,0.70420354
2218,95,0.673469
2126,86,0
2151,74,0
2218,87,0.962585
190,105,0
2247,95,0.230548
193,83,0.875978
2128,105,0.808411
2159,94,0
64,65,0.871929825
2242,82,0
179,106,0
65,83,0
2233,97,0.403226
128,81,0
2205,59,0
2197,105,0.444928
121,101,0.795429
2239,95,0.866667
2200,101,0.779931
158,78,0.7436
2217,80,0
2200,61,0
2162,97,0.541434
2127,101,0
185,95,0.891157
13,67,0.727273
2168,91,0.544452
66,77,0.836725664
2232,98,0
47,60,0.562914
2164,98,0.254867
185,79,0.85934
2269,90,0.05
2223,84,0.910345
2204,106,0.142857
171,106,0
2268,105,0.573103
2162,83,0.88888
2240,85,0.972136
197,106,0
2228,84,0
2213,79,0.480878
2162,85,0.88212
190,85,0
2233,95,0.508065
192,90,0.100203
36,106,0
2207,84,0.711538
195,105,0
1740,66,0.913616398
2174,106,0.03945
2131,84,0.675065
2229,85,0
2094,74,0.856496458
2056,83,0
193,103,0
2157,65,0
184,83,0
196,78,0.521015
2132,82,0.861715
121,93,0.009398
1795,92,0
183,106,0
190,88,0.499993
127,106,0.702823
178,91,0.813438
2,90,0
2252,95,0.948687
2218,81,0.840136
2178,85,0.790541
2248,87,0
2184,57,0
38,77,0
130,95,0
175,95,0.6563
2127,79,0.108418
163,105,0
2176,96,0.878261
123,85,0
2133,92,0
69,77,0.818918919
27,75,0
194,56,0
2149,87,0.583963
182,81,0.941574
2159,81,0
66,72,0.437168142
1702,70,0.958072591
2202,79,0
2183,91,0
2153,96,0.533606
2098,58,0.23892746
7,61,0.743363
2242,105,0.550802
2173,103,0.542035
2191,82,0
198,90,0.261174
88,74,0.848985507
2164,84,0
2221,85,0
2230,60,0
129,82,0
1730,65,0.749
175,82,0
87,60,0.904982206
2209,106,0
32,78,0
169,95,0
2229,79,0.652873
2151,91,0
16,62,0.1945
2245,94,0
2204,94,0
2216,81,0.79538
2180,90,0
193,84,0
2165,108,0
2174,93,0.03945
189,99,0
2252,99,0.955647
2173,78,0.566372
2232,98,0.009259
2189,72,0
2230,92,0
31,60,0.709
199,78,0
129,84,0.966702
2211,90,0
2246,106,0
2246,93,0.238103
2133,91,0.418011
2184,70,0
2177,91,0.297561
15,75,0.951359
2154,87,0.858516
2206,87,0
62,78,0
121,90,0.009398
2250,97,0.771845
177,101,0.833134
2196,86,0.894128
200,88,0.385668
2244,103,0.78496
2132,83,0.91516
129,82,0.813535
2237,103,0
2243,108,0.675
2171,101,0
2184,108,0.1
189,80,0
124,83,0
16,70,0.9635
39,64,0.769231
2172,93,0.350877
163,79,0.191676
2209,95,0
2181,105,0.702797
2153,101,0.830793
2173,94,0
194,103,0
2215,90,0
71,83,0
185,97,0.641024
2178,86,0.763514
68,87,0
194,80,0.831893
1703,78,0
2228,82,0.722772
121,83,0
2159,97,0.304588
2,76,0
197,99,0
90,62,0
199,99,0.829534
2245,64,0
2133,106,0.100142
199,83,0
2167,94,0
2164,97,0.257354
121,91,0.768115
2150,81,0
2219,80,0
2249,103,0
2167,80,0
2134,82,0.904838
2242,83,0.705882
183,103,0
2195,64,0
2198,108,0
2130,78,0.439014
2169,93,0.008909
160,108,0.970606
179,82,0
2242,81,0
180,90,0
23,97,0
21,61,0.884838
194,78,0
200,99,0
57,105,0
2232,81,0
2193,80,0.638587
2237,108,0
165,75,0
2250,81,0
41,76,0.855051
189,90,0
2131,83,0.639044
2251,96,0
174,92,0.894311
2157,106,0.104046
2174,92,0.63455
34,92,0
2246,92,0
1721,70,0.8295
2221,83,0.426714
2211,108,0.176701
174,93,0.029618
2184,86,0.9105
2207,79,0.548077
43,62,0.77983
2220,91,0.544444
2190,74,0
186,65,0
2206,79,0.425595
2209,56,0
2195,82,0.80163
2130,98,0.039195
1740,81,0
2210,94,0.732026
123,106,0.35448
2149,67,0
2169,67,0
2215,85,0.443709
2205,83,0.731771
196,81,0.893003
12,103,0
2233,66,0
2197,85,0.808696
170,106,0.142988
2173,82,0
192,108,0
159,67,0
170,105,0.78891
2174,79,0
190,93,0.499993
2199,82,0.715
81,56,0.1
2217,91,0
2162,90,0
2229,82,0
188,56,0
123,108,0
2230,87,0.40625
2149,78,0
2151,91,0.44401
28,61,0
163,84,0.930198
26,101,0
189,101,0
2188,92,0
86,76,0.848641304
2226,95,0.5798
87,82,0
37,96,0
2210,65,0
199,76,0
2220,80,0
2212,96,0
159,85,0.504196
178,95,0
2157,96,0
1723,74,1
127,85,0
1757,64,0.7242
2244,90,0.239282
177,87,0
2204,92,0
2158,95,0.650413
189,96,0.950612
158,82,0.668415
2249,108,0
75,58,0.93525
172,95,0.77558
2130,91,0
41,91,0
2168,85,0
180,85,0
2212,70,0
2215,103,0
2156,91,0
162,99,0.841381
2154,96,0.505569
124,76,0
2166,95,0
50,64,0
2248,94,0.927003
2219,90,0
2160,106,0
2128,80,0.85833
183,81,0
2132,87,0.885257
2155,79,0
2154,83,0
1728,70,0.849275362
2246,78,0.791913
2168,84,0.924861
159,97,0.427662
2179,86,0.7856
2223,96,0
2151,82,0
196,105,0
2228,103,0
192,78,0
2240,93,0
93,108,0
1,59,0.98441
2228,79,0
2202,72,0
69,58,0.837162162
199,88,0.385658
2235,105,0.497041
2133,93,0
2224,97,0.090909
158,93,0
20,67,0.9375
2158,103,0
75,93,0
2197,98,0.881159
2150,97,0
158,86,0.76065
159,84,0.504485
2224,105,0
2229,103,0.692069
186,81,0.754377
