,task_id,flow_id,associated
370,2244,85,0
371,2246,105,0
372,127,101,0
373,129,76,0
374,91,56,0
375,200,105,0
376,90,98,0
377,2188,82,0
378,124,93,0
379,68,75,1
380,63,67,1
381,2133,80,1
382,2193,94,1
383,166,78,1
384,31,66,1
385,186,67,0
386,2215,83,0
387,2202,98,1
388,2236,90,1
389,2217,106,1
390,2190,85,1
391,176,87,1
392,2153,97,1
393,2189,80,0
394,2246,79,0
395,179,64,0
396,181,95,0
397,2218,95,1
398,11,62,1
399,126,108,1
400,127,96,0
401,2243,103,1
402,2192,105,1
403,2236,80,1
404,2158,92,1
405,2245,90,0
406,32,81,0
407,2228,81,0
408,195,97,0
409,2158,66,0
410,2236,78,1
411,2164,98,1
412,2234,91,1
413,181,85,1
414,2160,97,1
415,2134,87,1
416,1722,59,1
417,98,70,1
418,2056,70,0
419,2182,70,0
420,2193,78,1
421,2202,90,1
422,2159,103,0
423,190,87,1
424,14,65,1
425,2168,87,1
426,2237,84,1
427,2204,103,1
428,123,81,0
429,50,86,0
430,120,83,0
431,175,86,1
432,2196,90,1
433,2250,106,0
434,1701,65,0
435,168,101,0
436,2126,90,0
437,183,82,0
438,191,80,0
439,165,92,1
440,166,106,0
441,2189,103,0
442,83,56,1
443,13,57,1
444,1717,64,0
445,168,77,0
446,2056,82,0
447,121,92,1
448,198,87,1
449,98,86,0
450,2156,101,1
451,186,85,1
452,168,87,1
453,71,78,0
454,199,96,0
455,159,82,1
456,192,93,1
457,2163,95,0
458,37,66,1
459,2169,76,0
460,122,96,0
461,39,99,0
462,170,97,1
463,2194,103,0
464,2174,80,0
465,126,99,0
466,2133,78,1
467,2248,95,0
468,2217,106,0
469,181,95,0
470,2221,101,0
471,2236,85,1
472,131,70,0
473,2175,79,0
474,129,83,1
475,2129,78,0
476,2191,91,1
477,161,108,0
478,176,77,0
479,2268,97,0
480,122,93,1
481,2155,87,1
482,130,103,1
483,187,80,1
484,198,106,1
485,188,97,0
486,2235,91,0
487,2268,93,1
488,2224,79,0
489,13,106,0
490,1702,66,1
491,2174,90,1
492,75,76,1
493,190,83,1
494,2154,85,1
495,2196,91,1
496,2165,101,1
497,167,97,1
498,2214,91,0
499,2242,80,0
500,29,108,0
501,2199,80,1
502,2204,81,1
503,2183,87,1
504,2240,106,1
505,2178,90,0
506,125,81,1
507,2250,87,0
508,2149,60,0
509,2236,103,0
510,2130,103,1
511,2132,79,1
512,2236,103,0
513,158,83,0
514,2189,85,0
515,82,76,1
516,2195,97,1
517,170,105,1
518,2222,87,1
519,2213,105,1
520,185,82,1
521,2168,84,1
522,94,72,1
523,2214,96,1
524,160,79,0
525,179,87,1
526,83,94,0
527,162,77,0
528,2216,98,0
529,2249,81,0
530,2244,105,0
531,77,67,1
532,2193,93,0
533,161,87,1
534,2192,83,1
535,2214,86,0
536,2193,80,0
537,162,96,1
538,2182,94,1
539,58,63,1
540,2180,80,1
541,2188,85,0
542,2133,92,1
543,171,99,1
544,124,94,1
545,186,87,1
546,161,94,0
547,2215,98,0
548,2190,75,0
549,185,96,1
550,176,78,1
551,2056,59,0
552,47,76,1
553,116,106,0
554,2126,90,0
555,2056,84,1
556,2160,79,1
557,79,83,0
558,2211,77,0
559,2244,101,1
560,193,79,0
561,2159,97,0
562,2216,95,1
563,2200,106,0
564,31,78,0
565,177,79,0
566,2152,105,0
567,123,81,1
568,1740,59,1
569,82,56,1
570,2205,96,0
571,2233,103,1
572,2197,78,1
573,65,59,1
574,2202,85,0
575,129,101,0
576,130,80,0
577,2226,96,1
578,2202,83,0
579,2213,99,1
580,200,82,1
581,2209,82,0
582,2228,103,0
583,164,93,0
584,2240,94,0
585,2234,57,0
586,2207,85,1
587,200,89,1
588,2228,81,0
589,2173,98,1
590,2234,95,0
591,2186,101,1
592,2216,98,1
593,15,82,0
594,93,75,1
595,98,57,1
596,62,58,1
597,2209,101,0
598,2268,86,1
599,184,80,0
600,66,82,0
601,130,101,1
602,2056,63,0
603,2214,90,0
604,11,74,1
605,2239,96,1
606,2196,80,1
607,2157,108,1
608,29,70,0
609,2164,87,1
610,122,103,0
611,189,105,0
612,35,98,0
613,2216,92,1
614,2182,79,1
615,116,56,1
616,2131,78,0
617,72,72,1
618,2236,91,1
619,31,64,0
620,128,62,0
621,180,97,1
622,2233,78,1
623,2229,97,0
624,2132,80,0
625,40,91,0
626,71,78,0
627,75,84,0
628,2243,106,0
629,2056,78,0
630,13,60,1
631,2162,83,0
632,2222,96,1
633,2234,106,0
634,2127,82,1
635,160,95,1
636,80,67,1
637,2180,83,1
638,2150,57,0
639,2228,99,0
640,166,65,0
641,2173,86,1
642,41,86,0
643,1717,60,1
644,194,84,1
645,2202,86,0
646,2197,96,0
647,187,96,0
648,2175,78,1
649,2249,108,1
650,2237,101,1
651,95,76,0
652,2128,94,1
653,2181,80,0
654,96,60,1
655,193,103,0
656,81,103,0
657,2195,92,1
658,2153,86,1
659,2176,105,1
660,194,70,0
661,2242,86,1
662,178,96,0
663,2133,82,0
664,2131,105,1
665,128,93,1
666,2133,83,1
667,64,79,0
668,35,103,0
669,66,57,1
670,1795,106,0
671,49,65,1
672,3,67,1
673,2154,91,0
674,2195,82,1
